,AvgTotalPageViews,batch_delivers,days_since_lastappvisit,days_since_firstappvisit,num_app_visits
0,0.0,0.0,33,133,0.0
1,0.0,0.0,68,191,0.0
2,0.0,0.0,372,373,0.0
3,0.0,0.0,143,143,0.0
4,0.0,0.0,182,225,0.0
5,0.0,0.0,203,241,0.0
6,0.0,0.0,20,173,0.0
7,0.0,0.0,80,80,0.0
8,0.0,0.0,100,173,0.0
9,0.0,0.0,18,230,0.0
10,0.0,0.0,71,80,0.0
11,0.0,0.0,282,282,0.0
12,0.0,0.0,157,208,0.0
13,0.0,0.0,17,306,0.0
14,0.0,0.0,63,63,0.0
15,0.0,0.0,151,153,0.0
16,0.0,0.0,113,540,0.0
17,0.0,0.0,71,71,0.0
18,0.0,0.0,174,211,0.0
19,0.0,0.0,70,102,0.0
20,0.0,0.0,162,261,0.0
21,0.0,0.0,179,179,0.0
22,0.0,0.0,404,404,0.0
23,0.0,0.0,236,250,0.0
24,0.0,0.0,19,297,0.0
25,0.0,0.0,24,155,0.0
26,0.0,0.0,98,144,0.0
27,0.0,0.0,277,277,0.0
28,0.0,0.0,104,262,0.0
29,0.0,0.0,68,236,0.0
30,0.0,0.0,63,175,0.0
31,0.0,0.0,66,68,0.0
32,0.0,0.0,120,249,0.0
33,0.0,0.0,176,239,0.0
34,0.0,0.0,23,178,0.0
35,0.0,0.0,47,673,0.0
36,0.0,0.0,114,180,0.0
37,0.0,0.0,35,267,0.0
38,0.0,0.0,51,311,0.0
39,0.0,0.0,27,337,0.0
40,0.0,0.0,104,511,0.0
41,0.0,0.0,106,373,0.0
42,0.0,0.0,38,632,0.0
43,0.0,0.0,135,419,0.0
44,0.0,0.0,130,364,0.0
45,0.0,0.0,64,542,0.0
46,0.0,0.0,177,687,0.0
47,0.0,0.0,24,123,0.0
48,0.0,0.0,260,355,0.0
49,0.0,0.0,93,566,0.0
50,0.0,0.0,43,117,0.0
51,0.0,0.0,25,95,0.0
52,0.0,0.0,43,98,0.0
53,0.0,0.0,41,86,0.0
54,0.0,0.0,211,306,0.0
55,10.0,4.0,0,0,1.0
56,8.0,0.0,0,0,1.0
57,7.0,0.0,0,0,1.0
58,30.0,0.0,0,0,1.0
59,25.0,23.0,0,0,1.0
60,12.0,0.0,0,0,1.0
61,11.0,0.0,0,0,1.0
62,20.0,18.0,0,0,1.0
63,6.0,6.0,0,0,1.0
64,29.0,0.0,0,0,1.0
65,13.0,0.0,0,0,1.0
66,17.0,4.0,0,0,1.0
67,13.0,0.0,0,0,1.0
68,5.0,0.0,0,0,1.0
69,35.0,0.0,0,0,1.0
70,131.0,0.0,0,0,1.0
71,31.0,0.0,0,0,1.0
72,22.0,16.0,0,0,1.0
73,30.0,5.0,0,0,1.0
74,6.0,0.0,0,0,1.0
75,1.0,0.0,0,0,1.0
76,5.0,0.0,0,0,1.0
77,3.0,0.0,0,0,1.0
78,15.0,0.0,0,0,1.0
79,25.0,170.0,0,0,1.0
80,24.0,13.0,0,0,1.0
81,1.0,128.0,11,11,1.0
82,0.0,0.0,17,598,0.0
83,29.0,0.0,37,37,1.0
84,1.0,0.0,205,278,1.0
85,2.0,276.0,11,14,1.0
86,3.0,345.0,15,15,1.0
87,2.0,0.0,38,38,1.0
88,52.0,0.0,0,0,2.0
89,6.0,0.0,0,0,1.0
90,3.5,0.0,2,2,2.0
91,8.0,0.0,5,5,2.0
92,11.0,0.0,361,367,1.0
93,11.5,34.0,0,0,2.0
94,9.0,0.0,0,0,2.0
95,40.0,34.0,4,4,2.0
96,60.0,0.0,0,0,2.0
97,3.0,0.0,136,145,1.0
98,13.0,604.0,28,28,1.0
99,28.0,0.0,0,0,2.0
100,4.5,20.0,0,0,2.0
101,1.0,88.0,0,0,2.0
102,25.0,400.0,23,26,1.0
103,13.0,3.0,260,260,2.0
104,3.5,0.0,54,54,2.0
105,0.0,0.0,80,87,0.0
106,1.0,0.0,79,840,1.0
107,85.5,8.0,85,87,2.0
108,8.333333333333332,567.0,0,0,3.0
109,4.333333333333333,3.0,1,1,3.0
110,7.333333333333333,0.0,0,0,3.0
111,12.0,30.0,0,0,3.0
112,13.0,0.0,91,290,2.0
113,18.5,410.0,6,35,2.0
114,7.0,0.0,4,29,2.0
115,2.2142857142857144,7505.0,0,57,14.0
116,7.0,123.0,0,0,1.0
117,3.3333333333333335,332.0,295,295,3.0
118,2.0,0.0,37,37,3.0
119,5.0,720.0,16,45,2.0
120,1.0,0.0,4,162,1.0
121,11.0,532.0,7,19,2.0
122,3.0,240.0,14,19,3.0
123,22.333333333333336,0.0,15,15,3.0
124,3.75,412.0,2,5,4.0
125,7.608695652173912,2093.0,4,6,23.0
126,2.3333333333333335,714.0,110,111,3.0
127,43.66666666666667,0.0,383,384,3.0
128,5.5,190.0,113,113,4.0
129,2.0,0.0,86,86,4.0
130,8.0,656.0,41,41,3.0
131,6.333333333333334,280.0,102,107,3.0
132,0.0,0.0,83,314,0.0
133,17.0,0.0,665,678,3.0
134,22.0,297.0,0,0,1.0
135,19.2,140.0,3,3,5.0
136,9.600000000000001,1045.0,3,3,5.0
137,0.0,0.0,12,129,0.0
138,9.4,10.0,0,1,5.0
139,1.6666666666666667,0.0,20,29,3.0
140,14.811320754716983,32571.0,104,972,53.0
141,5.2,273.0,14,24,5.0
142,0.0,0.0,18,108,0.0
143,7.0,420.0,8,471,3.0
144,24.5,160.0,202,760,2.0
145,72.0,820.0,408,747,1.0
146,2.0,0.0,6,473,1.0
147,14.499999999999998,0.0,0,31,6.0
148,9.2,486.0,9,12,5.0
149,6.625,0.0,29,970,8.0
150,10.428571428571429,798.0,1,1,7.0
151,5.333333333333334,1980.0,11,29,6.0
152,3.0,2700.0,27,31,5.0
153,4.0,180.0,15,15,7.0
154,12.6,234.0,366,430,5.0
155,7.976331360946743,47124.0,19,194,169.0
156,5.8,1632.0,6,54,5.0
157,16.0,0.0,7,502,1.0
158,11.8,2910.0,58,126,5.0
159,0.0,0.0,87,201,0.0
160,16.222222222222225,0.0,0,3,9.0
161,7.60344827586207,1377.0,64,455,58.0
162,0.0,0.0,8,974,0.0
163,16.115384615384613,301.0,417,608,26.0
164,37.83783783783784,2499.0,10,684,37.0
165,4.666666666666666,0.0,51,379,21.0
166,18.333333333333332,0.0,40,121,3.0
167,16.88,105.0,184,422,50.0
168,8.36434108527132,34020.0,1,63,129.0
169,11.654545454545458,40247.0,2,584,110.0
170,7.809523809523809,3400.0,36,357,21.0
171,15.103448275862068,2656.0,521,530,29.0
172,10.9,4998.0,47,47,20.0
173,13.615384615384615,4316.0,0,4,13.0
174,0.0,0.0,29,579,0.0
175,2.6666666666666665,0.0,22,32,12.0
176,18.444444444444446,2247.0,45,147,9.0
177,7.2142857142857135,4732.0,6,6,14.0
178,5.907407407407408,2646.0,23,65,54.0
179,12.083333333333334,2448.0,51,300,12.0
180,8.894736842105264,12354.0,7,238,57.0
181,5.307692307692308,2160.0,84,203,13.0
182,29.46153846153846,154.0,48,48,13.0
183,43.42857142857143,0.0,0,77,7.0
184,6.363636363636363,4914.0,13,120,11.0
185,13.743589743589745,0.0,6,130,39.0
